short_name
K. Gameiro
D. Payet
Beñat
Adán
B. Höwedes
F. Muslera
M. Sissoko
M. Parolo
Fernando
N. Gaitán
S. Giovinco
Luiz Gustavo
N. Nkoulou
N. Matić
Marcos Alonso
H. Mkhitaryan
André Almeida
A. Florenzi
E. Zahavi
F. Vázquez
Lucas Vázquez
Dani García
M. Acuña
Laure Santeiro
J. Frendado
S. Ardero
L. Dálves
S. Mandíquez
João Félix
N. Barella
J. Gomez
A. Christensen
M. Maignan
Y. Tielemans
Mario Hermoso
Carlos Soler
M. Caldara
H. Winks
K. Piątek
Diogo Jota
Marcos Llorente
F. Mendy
Melendo
Rúben Dias
D. Livaković
Héctor Bellerín
B. Mendy
M. Dembélé
O. Vlachodimos
Santi Mina
Rony Lopes
J. Correa
T. Bakayoko
M. Eggestein
Odriozola
M. Gómez
Sergi Darder
K. Zouma
L. Paredes
N. Aké
E. Hysaj
André Gomes
K. Baldé
J. Weigl
V. Rongier
Yeray
Loren
R. Rodríguez
A. Oxlade-Chamberlain
Campaña
A. Mandi
Deulofeu
Bernat
E. Andrada
M. Keane
J. Quintero
Samu Castillejo
W. Benítez
A. Rebić
E. Bailly
M. Almirón
M. Lazzari
M. Lanzini
J. Zoet
M. Ryan
Sergi Gómez
H. Vanaken
M. Hinteregger
M. Nastasić
Gabriel
C. Wilson
J. Guilavogui
D. Klaassen
P. Kadeřábek
C. Kramer
Iñigo Martínez
Portu
Manu Trigueros
H. Çalhanoğlu
M. Dabbur
M. Halstenberg
M. Vecino
M. Dúbravka
M. Dmitrović
Joaquín
W. Rooney
Moyá
Nani
J. Mascherano
Diego López
I. Akinfeev
A. Gignac
Jorge Molina
B. Costil
L. Perrin
B. Foster
T. Heaton
